"Name","Symbol","Exchange","Last","Bid","Ask","Extended Hours","Extended Hours (%)","Open","Prev.","High","Low","Chg.","Chg. %","Vol.","Next Earnings Date","Time","Market Cap","Revenue","Average Vol. (3m)","EPS","P/E Ratio","Beta","Dividend","Yield","5 Minutes","15 Minutes","30 Minutes","Hourly","5 Hours","Daily","Weekly","Monthly","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"XBR/USD - Brent Spot US Dollar","XBR/USD - Brent Spot US Dollar","FX","63.31","63.27","63.35","--","--","62.49","62.49","63.38","61.62","+0.82","+1.31%","-","--","11:04:58","-","","-","-","-","-","-","-","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Sell","Strong Sell","1.34%","4.28%","1.34%","4.21%","-20.06%","-20.32%"
"Dow Jones Industrial Average",".DJI","NYSE","49,399.04","-","-","--","--","49,234.81","49,266.11","49,469.11","49,197.06","+132.93","+0.27%","141,370,359","--","","-","","511,569,295","-","-","-","-","-","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","0.28%","2.11%","2.80%","2.79%","17.80%","46.58%"
"Crude Oil WTI Futures","CL","ICE","59.45","59.44","59.46","--","--","58.39","57.76","59.52","57.62","+1.69","+2.93%","162,071","--","11:04:43","-","","-","-","-","-","-","-","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Sell","Strong Sell","3.00%","3.79%","2.04%","3.61%","-21.47%","-21.07%"
"Bitcoin","BTC/USD","Investing.com","91,374.8","-","-","--","--","90,867.3","90,867.3","91,982.5","89,696.5","+507.5","+0.56%","54,135","--","11:04:44","-","","-","-","-","-","-","-","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Neutral","Neutral","Neutral","Buy","0.56%","1.54%","-0.68%","4.29%","-3.54%","423.95%"
